noise,filter,mse_mean,mse_std,mse_db_mean,snr_imp_mean,conv_time_mean
alpha_stable,LMS,0.04627378205197605,0.005937264387605211,-13.369630512990144,2.539818141940156,297.6666666666667
alpha_stable,NLMS,0.044489360431411495,0.00822874723277697,-13.56568959479209,3.3900800342578354,126.0
alpha_stable,RLS,0.059698139639068754,0.008068433363211032,-12.265965355552346,1.9834626138975746,127.0
alpha_stable,VSS-LMS,0.049173200623983566,0.006555228828266944,-13.10736757854375,2.555147467321166,230.0
burst,LMS,0.034693711993802674,0.031625335449162364,-17.030078449165618,3.0303917409256194,239.66666666666666
burst,NLMS,0.03667547250463878,0.03728703296042536,-19.43828820318028,3.9733357602999337,152.66666666666666
burst,RLS,0.04411759069371041,0.039084864761588234,-20.48929429925095,2.173925903750572,152.66666666666666
burst,VSS-LMS,0.04481729110896465,0.029010927239816325,-14.28659232263612,2.471442748485172,191.66666666666666
chirp_interferer,LMS,0.01900236908566946,0.008106933303757172,-17.548142546096425,2.3420330125286344,1588.3333333333333
chirp_interferer,NLMS,0.011208469049898931,0.004386419683174022,-19.784046560807464,4.677445397318058,153.33333333333334
chirp_interferer,RLS,0.011841752602652078,0.00434351311975864,-19.503746250826726,3.6093289552041767,400.6666666666667
chirp_interferer,VSS-LMS,0.04140845342962038,0.012399184990100324,-13.980853956669188,1.2906541249488879,2388.3333333333335
colored,LMS,0.04882440581765483,0.005360613357206093,-13.131917413781446,1.5682437625397678,574.6666666666666
colored,NLMS,0.05790905466005686,0.005477948719969724,-12.385196998073305,0.7450436902832802,263.6666666666667
colored,RLS,0.05454385537883047,0.0031627634466143135,-12.6375251451246,1.535554745366672,238.66666666666666
colored,VSS-LMS,0.05251921317384153,0.0036941835949847453,-12.804173450729564,1.4872545039148235,803.6666666666666
gaussian,LMS,0.03647870759586567,0.00044140631493818353,-14.379818278297643,2.67837873523737,483.6666666666667
gaussian,NLMS,0.037875682492129845,0.0013911417198723519,-14.218367608882184,3.29023080977345,142.0
gaussian,RLS,0.038547628384563624,0.0008573760368781605,-14.140738250066326,2.96084276742201,276.0
gaussian,VSS-LMS,0.03728220979208926,0.0009392431131357474,-14.285908177108018,2.8254197307142923,474.3333333333333
impulsive,LMS,0.03781361296625493,0.005661465130470403,-14.255391896252249,2.6065419681247417,371.0
impulsive,NLMS,0.03846258578356221,0.003811012039325677,-14.163439938606873,3.3751639071626336,128.0
impulsive,RLS,0.043402866248601187,0.007182581458954613,-13.664325288480272,2.4939850389802873,128.66666666666666
impulsive,VSS-LMS,0.03943691860413162,0.00472868111767928,-14.0611976724985,2.6299025059706373,444.6666666666667
regime_switch,LMS,0.03421440343017137,0.023544662921259812,-15.925596654498612,4.865307176763512,1396.3333333333333
regime_switch,NLMS,0.031246254216940605,0.021684314932049285,-16.41576943228715,5.338605615536267,1284.0
regime_switch,RLS,0.04258489379586434,0.03274688026829502,-15.623621770888276,4.8500436101373605,2424.6666666666665
regime_switch,VSS-LMS,0.043143303521667786,0.022569678969776116,-14.186869599267306,4.261241784767883,2357.3333333333335
time_varying,LMS,0.019685149138645584,0.013723166634088735,-17.721727676311236,3.5298853767221536,889.3333333333334
time_varying,NLMS,0.018514300911419746,0.014702419469844042,-18.164864423867048,3.954057600478001,778.0
time_varying,RLS,0.01820092822752393,0.016204106485645037,-18.474098086762776,3.7237370053265004,801.6666666666666
time_varying,VSS-LMS,0.024641691935005997,0.01085059345510906,-16.33969210958337,3.476948296260897,875.6666666666666
