train_family,eval_family,mse_db_mean,snr_imp_mean
colored,alpha_stable,-20.724600001164877,8.744355273234268
colored,burst,-23.15453201184464,8.611745577957278
colored,chirp_interferer,-22.298973098241742,6.159265535366761
colored,colored,-20.854876778299346,8.278452089001819
colored,gaussian,-21.417272073015983,8.637505891298531
colored,impulsive,-20.884019898983254,8.397044562156381
colored,regime_switch,-22.916140345632,10.15781415056757
colored,time_varying,-24.922560578910566,9.2078226801527
gaussian,alpha_stable,-21.23075514067352,8.965188450229766
gaussian,burst,-25.41993077872687,9.063218216197944
gaussian,chirp_interferer,-26.28045004781426,6.677318480728562
gaussian,colored,-20.40643936672037,7.942129712002118
gaussian,gaussian,-22.665259437506165,9.166208829841228
gaussian,impulsive,-22.56062617740646,8.95721985556468
gaussian,regime_switch,-24.288073961252962,10.09753774680623
gaussian,time_varying,-26.814398297318025,9.797963510401615
impulsive,alpha_stable,-25.95541970404346,11.146463554433915
impulsive,burst,-26.820272895699166,8.743920439048631
impulsive,chirp_interferer,-26.357265544106426,6.467035834057486
impulsive,colored,-20.64535335028117,7.812817821830383
impulsive,gaussian,-22.324198734890178,9.041001586327253
impulsive,impulsive,-24.97035655719552,10.454573106549338
impulsive,regime_switch,-25.936606999012685,10.2630367714155
impulsive,time_varying,-26.94295006870998,9.387996602619591
mixed,alpha_stable,-22.1623632601334,9.396967638038923
mixed,burst,-25.459119650838876,9.046650269469952
mixed,chirp_interferer,-25.17383877640194,6.441373133568292
mixed,colored,-20.73877776716806,8.075438383924046
mixed,gaussian,-22.321592720817417,9.027449748756508
mixed,impulsive,-22.53504124883092,9.012535583024922
mixed,regime_switch,-24.150613644613014,10.423610545747705
mixed,time_varying,-26.43531013100561,9.665664359146248
time_varying,alpha_stable,-21.11090098750273,8.977324345718683
time_varying,burst,-25.022861462853683,9.090601807927827
time_varying,chirp_interferer,-25.57233058099291,6.472622548936571
time_varying,colored,-20.13767764366779,7.657016117262576
time_varying,gaussian,-22.39347706178529,9.039942968856181
time_varying,impulsive,-22.271765367829513,8.810947081009457
time_varying,regime_switch,-23.4702916306513,9.766118426090918
time_varying,time_varying,-26.478697396032917,9.703829399081952
