step,ss_mse,ss_mse_db,family,snr_db,seed
4000,20.14007257497618,13.040610312054504,impulsive,15.0,7
4000,130.19680364313567,21.14600322349012,colored,5.0,7
4000,31.40296166564276,14.96970609041079,time_varying,20.0,7
4000,14.570231790891299,11.634664608094381,time_varying,5.0,7
8000,2.270449358386853,3.561118195521206,time_varying,15.0,7
8000,0.9637539856034956,-0.16033812912493395,colored,15.0,7
8000,13.6628570913252,11.355415257914919,colored,5.0,7
8000,2.6545245547998326,4.239867469931237,gaussian,20.0,7
12000,1.5019185390729617,1.766463780808879,gaussian,15.0,7
12000,13.385768544710757,11.266433112827857,time_varying,10.0,7
12000,18.24375328994428,12.611141906495929,impulsive,0.0,7
12000,21.35727293808004,13.295457978156316,impulsive,15.0,7
16000,0.4071218967972577,-3.902755387335591,time_varying,5.0,7
16000,0.5105419400614851,-2.919685756347582,impulsive,10.0,7
16000,55.66254394588794,17.455630510173307,gaussian,0.0,7
16000,8.104726273315606,9.087383516958724,colored,5.0,7
20000,0.933818962019605,-0.2973731158179963,gaussian,15.0,7
20000,0.6733873160287597,-1.7173506827190357,colored,15.0,7
20000,2.649526910920283,4.231683349487681,colored,20.0,7
20000,3.699261417229834,5.681150228669547,impulsive,0.0,7
24000,0.11876089916518595,-9.25326522919757,impulsive,5.0,7
24000,0.11083240787519674,-9.553332314499137,colored,20.0,7
24000,0.12306594155774232,-9.098621212333237,time_varying,0.0,7
24000,21.114438122596336,13.245795288818229,gaussian,20.0,7
28000,22.514704049344616,13.524662426344676,impulsive,0.0,7
28000,60.19731119014094,17.79577093228535,time_varying,20.0,7
28000,45.91625982594304,16.619665047577655,impulsive,5.0,7
28000,0.08317757634764175,-10.799937383801492,colored,10.0,7
32000,3.9355104973391075,5.9500107514434175,gaussian,15.0,7
32000,0.08917901201666953,-10.497373433527617,gaussian,20.0,7
32000,1.6656629663578673,2.215871299290219,gaussian,5.0,7
32000,3.8870446162592,5.896195255770866,gaussian,20.0,7
36000,9.39508178886462,9.7290056520274,impulsive,15.0,7
36000,11.49489434913525,10.605049839743284,gaussian,0.0,7
36000,9.40199793054404,9.732201512605545,impulsive,5.0,7
36000,3.3328327544265113,5.228135207857473,gaussian,15.0,7
40000,0.10066399326730595,-9.97125845447013,colored,20.0,7
40000,2.953467816072869,4.703322427144768,time_varying,0.0,7
40000,0.5551722983515053,-2.5557221217278214,time_varying,10.0,7
40000,13.57829816311874,11.328453410283023,impulsive,20.0,7
44000,0.3044913441269044,-5.16425048682727,colored,0.0,7
44000,2.1381320848452656,3.3003453059586234,gaussian,15.0,7
44000,0.8379849078408729,-0.7676380296878939,impulsive,10.0,7
44000,0.7873334355517595,-1.0384130505775089,time_varying,10.0,7
48000,0.10549346194453613,-9.767744553327598,gaussian,5.0,7
48000,4.0152914656047995,6.037170757192904,time_varying,5.0,7
48000,0.07231520516467921,-11.407703773214244,time_varying,20.0,7
48000,0.08832431422151481,-10.539197258776497,gaussian,5.0,7
52000,15.172577035002027,11.810593511907989,impulsive,0.0,7
52000,0.14253231844415604,-8.460866505255623,time_varying,20.0,7
52000,0.4640532791123511,-3.3343215415079763,gaussian,0.0,7
52000,3.410273124304776,5.3278916246136285,time_varying,0.0,7
56000,0.026470643802320254,-15.772354959170405,colored,20.0,7
56000,0.0954547933220731,-10.202022583494923,colored,15.0,7
56000,3.3159945696701225,5.206138106708181,impulsive,20.0,7
56000,3.766158340258434,5.75898575068683,impulsive,10.0,7
60000,0.1381225061283145,-8.597355503033386,gaussian,5.0,7
60000,0.28505866828890597,-5.450657480882485,gaussian,0.0,7
60000,0.4056267593716899,-3.9187340213489303,time_varying,10.0,7
60000,0.10311576716268751,-9.866749227995648,impulsive,10.0,7
64000,0.028576325161425265,-15.439936210417022,impulsive,15.0,7
64000,0.34984757090288315,-4.561211371776,impulsive,0.0,7
64000,2.710791914594677,4.330961816117394,time_varying,10.0,7
64000,0.039160033184769155,-14.07156948830332,impulsive,10.0,7
68000,9.306460999596656,9.687845616963465,impulsive,0.0,7
68000,0.4378510978297784,-3.5867355704171864,gaussian,20.0,7
68000,0.03957354442416015,-14.02595050179984,colored,20.0,7
68000,0.3047746838808022,-5.160211105183274,colored,0.0,7
72000,0.11821571488578454,-9.273247871183479,impulsive,5.0,7
72000,0.046653689886366125,-13.31114001770671,impulsive,5.0,7
72000,0.1425142892399374,-8.461415887967403,gaussian,5.0,7
72000,0.38010520742301385,-4.200961805415359,impulsive,5.0,7
76000,48.17823379614873,16.828508748103964,time_varying,20.0,7
76000,0.07980641392129013,-10.979622036477608,colored,5.0,7
76000,0.05454472805945899,-12.632472191342226,time_varying,0.0,7
76000,0.026198450783493518,-15.817243894298137,colored,20.0,7
80000,0.02373019112584366,-16.24698763889729,time_varying,20.0,7
80000,0.14431880860379903,-8.406770650189937,colored,5.0,7
80000,0.07109819548709513,-11.481414217668295,gaussian,15.0,7
80000,0.15662777753299503,-8.05131214436793,time_varying,20.0,7
84000,0.35637610778645534,-4.480914196853424,gaussian,0.0,7
84000,0.12761791432799435,-8.940883573692497,colored,20.0,7
84000,0.07742864166871247,-11.110983594956432,impulsive,10.0,7
84000,0.046896909130500805,-13.288557797021456,gaussian,15.0,7
88000,0.032317112419453634,-14.905674509880264,gaussian,5.0,7
88000,0.02905283440683742,-15.368114912380424,time_varying,20.0,7
