signal,noise,seed,method,ss_mse_db
ECG,gaussian,7,NLMS,-29.978138032288477
ECG,gaussian,7,NLMS (mu=0.1),-26.482243919234843
ECG,gaussian,7,VSS-LMS (Kwong),-21.362741687595282
ECG,gaussian,7,Heuristic,-30.549755685255462
ECG,gaussian,7,Meta-RL,-32.42274404849509
ECG,powerline,7,NLMS,-21.89545921019419
ECG,powerline,7,NLMS (mu=0.1),-16.64789107607049
ECG,powerline,7,VSS-LMS (Kwong),-9.953691262270052
ECG,powerline,7,Heuristic,-12.521558039733272
ECG,powerline,7,Meta-RL,-30.38852894677957
ECG,baseline_wander,7,NLMS,-34.96068925231044
ECG,baseline_wander,7,NLMS (mu=0.1),-32.9633983865559
ECG,baseline_wander,7,VSS-LMS (Kwong),-25.31974725530949
ECG,baseline_wander,7,Heuristic,-42.98309693387956
ECG,baseline_wander,7,Meta-RL,-36.07668078450277
ECG,impulsive,7,NLMS,-29.564086105677813
ECG,impulsive,7,NLMS (mu=0.1),-25.580263627860003
ECG,impulsive,7,VSS-LMS (Kwong),-20.351542786870137
ECG,impulsive,7,Heuristic,-28.741562708720615
ECG,impulsive,7,Meta-RL,-32.2487549431555
ECG,burst,7,NLMS,-50.39507460676654
ECG,burst,7,NLMS (mu=0.1),-42.00500927089419
ECG,burst,7,VSS-LMS (Kwong),-34.43644366547295
ECG,burst,7,Heuristic,-51.935355433210674
ECG,burst,7,Meta-RL,-42.460381490577774
ECG,regime_switch,7,NLMS,-44.290834051248666
ECG,regime_switch,7,NLMS (mu=0.1),-39.33108535873017
ECG,regime_switch,7,VSS-LMS (Kwong),-27.28460089447239
ECG,regime_switch,7,Heuristic,-45.04634772753796
ECG,regime_switch,7,Meta-RL,-38.44176556275189
ECG,gaussian,42,NLMS,-27.421520857186582
ECG,gaussian,42,NLMS (mu=0.1),-24.146606793772257
ECG,gaussian,42,VSS-LMS (Kwong),-18.97482345407209
ECG,gaussian,42,Heuristic,-28.020163429327162
ECG,gaussian,42,Meta-RL,-29.550221966917903
ECG,powerline,42,NLMS,-20.530391008817638
ECG,powerline,42,NLMS (mu=0.1),-14.709076565453
ECG,powerline,42,VSS-LMS (Kwong),-7.362405690404923
ECG,powerline,42,Heuristic,-26.133058167170265
ECG,powerline,42,Meta-RL,-30.11200167242429
ECG,baseline_wander,42,NLMS,-33.402250527390954
ECG,baseline_wander,42,NLMS (mu=0.1),-33.70536563326101
ECG,baseline_wander,42,VSS-LMS (Kwong),-20.03097914952931
ECG,baseline_wander,42,Heuristic,-43.046790369806764
ECG,baseline_wander,42,Meta-RL,-35.635037817980134
ECG,impulsive,42,NLMS,-27.58232394062936
ECG,impulsive,42,NLMS (mu=0.1),-23.717409374343575
ECG,impulsive,42,VSS-LMS (Kwong),-18.99249314037958
ECG,impulsive,42,Heuristic,-26.969795685067133
ECG,impulsive,42,Meta-RL,-28.78474273946179
ECG,burst,42,NLMS,-50.42671332312517
ECG,burst,42,NLMS (mu=0.1),-42.14104356065458
ECG,burst,42,VSS-LMS (Kwong),-33.20362494302523
ECG,burst,42,Heuristic,-51.248688057927836
ECG,burst,42,Meta-RL,-42.73581730918035
ECG,regime_switch,42,NLMS,-42.19230506963291
ECG,regime_switch,42,NLMS (mu=0.1),-37.32477992121413
ECG,regime_switch,42,VSS-LMS (Kwong),-28.59059338223875
ECG,regime_switch,42,Heuristic,-42.73446116999643
ECG,regime_switch,42,Meta-RL,-38.7370796560183
ECG,gaussian,99,NLMS,-27.02042361215218
ECG,gaussian,99,NLMS (mu=0.1),-23.320091963384723
ECG,gaussian,99,VSS-LMS (Kwong),-17.663283001232806
ECG,gaussian,99,Heuristic,-27.527554041766304
ECG,gaussian,99,Meta-RL,-29.162067050169632
