signal,noise,seed,method,ss_mse_db
Speech,gaussian,7,NLMS,-11.080063966531036
Speech,gaussian,7,NLMS (mu=0.1),-11.90085680052717
Speech,gaussian,7,VSS-LMS (Kwong),-11.6774391051805
Speech,gaussian,7,Heuristic,-10.619499613332026
Speech,gaussian,7,Meta-RL,-10.652668124098943
Speech,impulsive,7,NLMS,-11.324515065470734
Speech,impulsive,7,NLMS (mu=0.1),-12.14904065313329
Speech,impulsive,7,VSS-LMS (Kwong),-11.77800973626403
Speech,impulsive,7,Heuristic,-12.21602926082096
Speech,impulsive,7,Meta-RL,-9.710981909200607
Speech,burst,7,NLMS,-31.852888945943096
Speech,burst,7,NLMS (mu=0.1),-29.362048401318507
Speech,burst,7,VSS-LMS (Kwong),-15.441265184182127
Speech,burst,7,Heuristic,-32.0039591605338
Speech,burst,7,Meta-RL,-18.02099008184218
Speech,regime_switch,7,NLMS,-24.011116233222857
Speech,regime_switch,7,NLMS (mu=0.1),-23.225997209762433
Speech,regime_switch,7,VSS-LMS (Kwong),-14.783006764976554
Speech,regime_switch,7,Heuristic,-23.568259686086996
Speech,regime_switch,7,Meta-RL,-15.956904165212144
Speech,gaussian,42,NLMS,-11.250657617981211
Speech,gaussian,42,NLMS (mu=0.1),-12.119117711418175
Speech,gaussian,42,VSS-LMS (Kwong),-11.8114775639272
Speech,gaussian,42,Heuristic,-10.644988273811913
Speech,gaussian,42,Meta-RL,-10.362460634413893
Speech,impulsive,42,NLMS,-10.660453351668487
Speech,impulsive,42,NLMS (mu=0.1),-11.390143962793829
Speech,impulsive,42,VSS-LMS (Kwong),-11.188758121302255
Speech,impulsive,42,Heuristic,-11.418989422247847
Speech,impulsive,42,Meta-RL,-9.6753528047953
Speech,burst,42,NLMS,-32.29050306018886
Speech,burst,42,NLMS (mu=0.1),-29.63083418825378
Speech,burst,42,VSS-LMS (Kwong),-15.257481190107367
Speech,burst,42,Heuristic,-32.273635261306104
Speech,burst,42,Meta-RL,-18.56766314137955
Speech,regime_switch,42,NLMS,-24.247232549211276
Speech,regime_switch,42,NLMS (mu=0.1),-22.92866112910463
Speech,regime_switch,42,VSS-LMS (Kwong),-14.764113122382824
Speech,regime_switch,42,Heuristic,-23.988346972805843
Speech,regime_switch,42,Meta-RL,-16.327040552859174
