method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
PPO-NLMS-s42,gaussian,10.0,0,0.04898195718394941,-13.099638656457344,0.04553976010468021,673,1332.7255480035092
PPO-NLMS-s42,gaussian,10.0,1,0.05250026859605117,-12.798384746908283,0.051777496425420594,2000,1239.0548789990135
PPO-NLMS-s42,gaussian,10.0,2,0.03737418075033245,-14.2742831837521,0.03883616179232852,116,1300.1245510022272
PPO-NLMS-s42,gaussian,10.0,3,0.05032806028379639,-12.981898076088804,0.04858109404149964,286,1334.2550539964577
PPO-NLMS-s42,gaussian,10.0,4,0.06349186137796785,-11.972819406093036,0.07023578157667631,2000,1248.0336379958317
PPO-NLMS-s42,colored,10.0,0,0.03391994005783988,-14.695449238722247,0.03465082153510912,103,1291.8227900008787
PPO-NLMS-s42,colored,10.0,1,0.027824590249859872,-15.555712224326355,0.02964322284648645,119,1254.6556989982491
PPO-NLMS-s42,colored,10.0,2,0.0264629989585908,-15.773609402770543,0.029731937662349855,100,1249.3975350007531
PPO-NLMS-s42,colored,10.0,3,0.053306548220958094,-12.732194385909768,0.051028662877406435,106,1226.4854059976642
PPO-NLMS-s42,colored,10.0,4,0.04934208950686893,-13.06782463226445,0.052048012540727384,923,1244.8673019971466
PPO-NLMS-s42,impulsive,10.0,0,0.0437282319599302,-13.592380818852964,0.0474036294245284,150,1248.054764000699
PPO-NLMS-s42,impulsive,10.0,1,0.04923825077856656,-13.076973840566374,0.04686284516105481,138,1238.988140001311
PPO-NLMS-s42,impulsive,10.0,2,0.04588401394670046,-13.383385968935826,0.03862563696547554,100,1264.018391004356
PPO-NLMS-s42,impulsive,10.0,3,0.0512475691726593,-12.903267296771489,0.05393945842197416,285,1301.7778760040528
PPO-NLMS-s42,impulsive,10.0,4,0.05902493658139494,-12.289644708639024,0.06584037620766496,2000,1245.5843509960687
PPO-NLMS-s42,time_varying,10.0,0,0.02354670059560442,-16.280699383471724,0.03436952452055004,103,1341.731720000098
PPO-NLMS-s42,time_varying,10.0,1,0.08100989337727874,-10.914619394272957,0.08030154506425535,2000,1234.9374930054182
PPO-NLMS-s42,time_varying,10.0,2,0.02914582537900082,-15.35423641394315,0.03966062161875226,102,1267.902701998537
PPO-NLMS-s42,time_varying,10.0,3,0.09817092019803977,-10.080171381539117,0.07726649901234924,424,1254.9212929952773
PPO-NLMS-s42,time_varying,10.0,4,0.15046483355634008,-8.225649909445655,0.10288048245245611,655,1266.1707000006572
PPO-NLMS-s42,regime_switch,10.0,0,0.03546193495888861,-14.502375710623568,0.03938900134826761,645,1233.7242080029682
PPO-NLMS-s42,regime_switch,10.0,1,0.016530246750967065,-17.8172066353576,0.025311441071253944,113,1251.0403400010546
PPO-NLMS-s42,regime_switch,10.0,2,0.1024089398231838,-9.896621298167851,0.14633429370473158,2000,1250.7223860011436
PPO-NLMS-s42,regime_switch,10.0,3,0.12765475641009494,-8.939629987633102,0.10895552779632155,422,1249.3871709957602
PPO-NLMS-s42,regime_switch,10.0,4,0.03454299675680839,-14.616399881662502,0.04964279705825402,241,1264.0200189998723
PPO-NLMS-s42,alpha_stable,10.0,0,0.0357864171573396,-14.46281779851174,0.04525562540943329,499,1348.7960049969843
PPO-NLMS-s42,alpha_stable,10.0,1,0.025398501388988425,-15.951919076816036,0.038393422852932305,119,1563.8956950060674
PPO-NLMS-s42,alpha_stable,10.0,2,0.030838192039878663,-15.109110913761432,0.038246075652808596,104,1536.3057279973873
PPO-NLMS-s42,alpha_stable,10.0,3,0.057402461749992466,-12.410694821325773,0.046754280779348616,118,2063.412696996238
PPO-NLMS-s42,alpha_stable,10.0,4,0.05867396337940048,-12.315545745397458,0.07035651530372244,2000,1668.8646500042523
PPO-NLMS-s42,burst,10.0,0,0.08498820779163724,-10.706413289429193,0.04202860465551895,263,1309.9271489991224
PPO-NLMS-s42,burst,10.0,1,0.03337396818895201,-14.765921523340996,0.0361428482518819,103,1267.873242002679
PPO-NLMS-s42,burst,10.0,2,0.02208765957125199,-16.55850299914238,0.04047399689368051,100,1285.7958090025932
PPO-NLMS-s42,burst,10.0,3,0.05239272195282176,-12.807290381083295,0.04514983961215887,100,1245.161614002427
PPO-NLMS-s42,burst,10.0,4,0.02630782169010375,-15.799151103596929,0.05352912508451075,550,1293.4574219980277
PPO-NLMS-s42,chirp_interferer,10.0,0,0.025833742462723897,-15.878126742134553,0.03889859754155702,138,1243.7017209958867
PPO-NLMS-s42,chirp_interferer,10.0,1,0.015254226401842414,-18.166098121117553,0.027876573867202516,114,1263.9742649989785
PPO-NLMS-s42,chirp_interferer,10.0,2,0.04820439976815697,-13.169133205109082,0.03734189593857743,147,1268.7895380004193
PPO-NLMS-s42,chirp_interferer,10.0,3,0.03956395072995544,-14.027003476364264,0.039911493545258594,164,1276.401816001453
PPO-NLMS-s42,chirp_interferer,10.0,4,0.06476505560504471,-11.886592572610084,0.05460027866902277,1695,1287.6095850006095
Meta-RL-s42,gaussian,10.0,0,0.04366893994281912,-13.598273503762922,0.04295227269630546,168,2249.8964329934097
Meta-RL-s42,gaussian,10.0,1,0.048904160991575796,-13.106541875177975,0.048164184631968525,405,2169.4063399991137
Meta-RL-s42,gaussian,10.0,2,0.0370013098501168,-14.317829015804877,0.03890819610150686,142,2271.8258730019443
Meta-RL-s42,gaussian,10.0,3,0.06211137046978222,-12.068288880571068,0.05504112614403857,283,2274.4063989957795
Meta-RL-s42,gaussian,10.0,4,0.07112743146396906,-11.479628741466819,0.09157802839327865,2000,2143.543033002061
Meta-RL-s42,colored,10.0,0,0.028898356699670266,-15.391268526110007,0.029758926774005972,132,2170.1986879998003
Meta-RL-s42,colored,10.0,1,0.016434581805308754,-17.842413424812428,0.025630730992709846,119,2226.280018003308
Meta-RL-s42,colored,10.0,2,0.03166547065477697,-14.994140525067793,0.03326417118534559,100,1906.2515620025806
Meta-RL-s42,colored,10.0,3,0.09482567144192977,-10.230740734558925,0.07601936230504981,804,1522.1815409968258
Meta-RL-s42,colored,10.0,4,0.06835099451141706,-11.652551620308667,0.0853343861292166,1004,1522.5574919968494
Meta-RL-s42,impulsive,10.0,0,0.03789992999222521,-14.213615922373119,0.04347801745505545,149,1728.741890998208
Meta-RL-s42,impulsive,10.0,1,0.04145381551681114,-13.82435489671762,0.04351911043829381,384,2204.154118997394
Meta-RL-s42,impulsive,10.0,2,0.04301589576846416,-13.663710288556864,0.037166089865423205,102,2268.688171003305
Meta-RL-s42,impulsive,10.0,3,0.05473297970682151,-12.617509078699417,0.10335238308952256,310,2115.6481750003877
