method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
LMS,gaussian,0.0,0,0.17903688988183358,-7.4705747504302185,0.1770245848720976,2000,5.113155995786656
LMS,gaussian,0.0,1,0.2000641780825236,-6.988306657533641,0.19074812086838672,2000,5.526182001631241
LMS,gaussian,0.0,2,0.1693547001755832,-7.712027456834915,0.19086591678465828,2000,5.794912998680957
LMS,gaussian,0.0,3,0.1923453848499775,-7.159182297252421,0.1858214392877684,2000,5.800888000521809
LMS,gaussian,0.0,4,0.1677784917935796,-7.752637139103444,0.18407961934411998,2000,5.847904998518061
LMS,gaussian,5.0,0,0.08319284382816586,-10.799140297089117,0.08795374913661191,2000,5.533152994757984
LMS,gaussian,5.0,1,0.0905711096996315,-10.430103111364668,0.09223248646945897,2000,5.629471997963265
LMS,gaussian,5.0,2,0.07577125101399707,-11.20495542308116,0.0920820294304294,2000,5.796751000161748
LMS,gaussian,5.0,3,0.08636558488448155,-10.636592815008193,0.08962520251155519,2000,5.431605997728184
LMS,gaussian,5.0,4,0.07330632457507005,-11.348585545540178,0.08998938727160032,2000,5.448111005534884
LMS,gaussian,15.0,0,0.01518377635442483,-18.186202016712745,0.02676591925862442,203,5.488036003953312
LMS,gaussian,15.0,1,0.016229894204969023,-17.896843110988215,0.027954608605452822,241,5.590136999671813
LMS,gaussian,15.0,2,0.013070191761421096,-18.837180405181265,0.027779979371003884,268,5.884894999326207
LMS,gaussian,15.0,3,0.015360645336562758,-18.135905381681102,0.027149812486070544,245,5.587081002886407
LMS,gaussian,15.0,4,0.012369571414716259,-19.076453476638456,0.02691858802217857,255,6.069128998205997
LMS,gaussian,20.0,0,0.0067511017752695905,-21.7062534475313,0.02022237914972056,202,5.431789002614096
LMS,gaussian,20.0,1,0.0072392693056830245,-21.403052669644683,0.020868216269010652,239,5.467302995384671
LMS,gaussian,20.0,2,0.005790625041144087,-22.372745558402194,0.020768995996311497,240,5.56057199719362
LMS,gaussian,20.0,3,0.006842780116715129,-21.64767415169149,0.020496011923785355,239,5.95136600168189
LMS,gaussian,20.0,4,0.005597553801893239,-22.52001723351907,0.020285391195213387,241,5.703886999981478
LMS,colored,0.0,0,0.17689554617555148,-7.522831014899214,0.16940456114123645,2000,5.735172999266069
LMS,colored,0.0,1,0.1951210923957239,-7.0969578126473785,0.18197643051690812,2000,5.731316996389069
LMS,colored,0.0,2,0.15586772751491385,-8.072437963739596,0.18159315370061727,2000,5.560003999562468
LMS,colored,0.0,3,0.16391488637020077,-7.853816030171283,0.17584761882344377,2000,5.595608003204688
LMS,colored,0.0,4,0.17253341278769635,-7.631267870569834,0.1823852722401659,2000,5.623017001198605
LMS,colored,5.0,0,0.10415558954289841,-9.823174185349222,0.10087196776154134,2000,5.503357002453413
LMS,colored,5.0,1,0.09842126371902986,-10.069110629646875,0.10709575158642048,1214,5.4843539983266965
LMS,colored,5.0,2,0.08474297859465682,-10.718962752309055,0.10620998550547356,2000,5.599953998171259
LMS,colored,5.0,3,0.11203542179933376,-9.506446464342966,0.10623471532293095,2000,5.533365001610946
LMS,colored,5.0,4,0.09927315114646644,-10.031681924426755,0.10925143818947622,2000,5.668532001436688
LMS,colored,15.0,0,0.02350599245060355,-16.288214076471462,0.032444115935021445,200,5.587781000940595
LMS,colored,15.0,1,0.019979052175825178,-16.994251189197776,0.033574577356636576,329,5.6452510034432635
LMS,colored,15.0,2,0.017552320419834323,-17.556654615714347,0.03387568707774821,309,5.654111999319866
LMS,colored,15.0,3,0.02408267018036404,-16.182953620678045,0.032742234232836995,250,5.625896999845281
LMS,colored,15.0,4,0.02073898657153097,-16.832124695820305,0.03304898962545613,328,5.6236419986817054
LMS,colored,20.0,0,0.009843049821898663,-20.06870316605638,0.022347810399950138,200,5.446599003334995
LMS,colored,20.0,1,0.008704495583478751,-20.60256390683884,0.022849024633092945,240,5.420959998446051
LMS,colored,20.0,2,0.007466639592279448,-21.268748110967483,0.02304944737094065,240,5.580340999586042
LMS,colored,20.0,3,0.009966570836594335,-20.014542421381158,0.022547058794731793,226,5.602331999398302
LMS,colored,20.0,4,0.008591082542207687,-20.659521082386686,0.022515872457916957,249,5.581021003308706
LMS,impulsive,0.0,0,0.15589878018208833,-8.071572828985618,0.19121567303132297,2000,5.507473004399799
LMS,impulsive,0.0,1,0.1838466000356019,-7.355443973371148,0.20059219641607098,2000,5.476684003951959
LMS,impulsive,0.0,2,0.27725634895487355,-5.571185000573189,0.21538988495253375,2000,5.497124002431519
LMS,impulsive,0.0,3,0.19199323593807713,-7.167140715364516,0.19450774318315495,2000,5.589756001427304
LMS,impulsive,0.0,4,0.33331371421126116,-4.771468168999954,0.20577589657918044,2000,5.658626003423706
LMS,impulsive,5.0,0,0.06999733107693308,-11.549185188460802,0.08950463744263913,2000,5.5985919971135445
LMS,impulsive,5.0,1,0.08809866602419851,-10.550306675502835,0.09674592125568705,2000,5.495148005138617
LMS,impulsive,5.0,2,0.12744817492496804,-8.946663793022564,0.09668969774022358,2000,5.54068099881988
LMS,impulsive,5.0,3,0.0806541796232172,-10.933731218807203,0.09162249240622583,1375,5.56674599647522
LMS,impulsive,5.0,4,0.13063392926236667,-8.839440100585941,0.09252791028340246,2000,5.573115995503031
LMS,impulsive,15.0,0,0.01242935198142376,-19.05551513176034,0.026834026848849633,337,5.575855997449253
LMS,impulsive,15.0,1,0.01582576750537134,-18.006352187071872,0.028232309483155183,248,5.528402005438693
LMS,impulsive,15.0,2,0.020242018690817674,-16.937461784429296,0.027870934687434346,241,5.586070998106152
LMS,impulsive,15.0,3,0.013876719890047504,-18.57713178086267,0.027141838038618887,290,5.620380994514562
LMS,impulsive,15.0,4,0.021031585886758703,-16.771279780823644,0.02731312763844712,246,5.617411996354349
LMS,impulsive,20.0,0,0.005827038640123381,-22.345521019422826,0.020280507852865722,248,5.631011998048052
LMS,impulsive,20.0,1,0.006979039674737223,-21.5620433270937,0.02084332468404875,240,5.647220998071134
LMS,impulsive,20.0,2,0.008264374971605306,-20.827899861594304,0.020792777678896875,225,5.606604005151894
LMS,impulsive,20.0,3,0.006173045858224596,-22.09500496670634,0.020408004930050835,241,5.622845004836563
LMS,impulsive,20.0,4,0.008811410164245321,-20.549545821695595,0.020557647415993367,239,5.6238309989566915
LMS,time_varying,0.0,0,0.05060791254100774,-12.957815759530966,0.049261424466145814,202,5.53499400120927
LMS,time_varying,0.0,1,0.051484368245929064,-12.883246120191345,0.052007662818907716,305,5.517463003343437
LMS,time_varying,0.0,2,0.04807743352383613,-13.180587239452315,0.07763200066690469,1200,5.677926994394511
LMS,time_varying,0.0,3,0.17836051741242678,-7.487012764577175,0.10610338767370746,628,5.64701000257628
LMS,time_varying,0.0,4,0.02415925264018582,-16.169165046050963,0.09399723593614344,241,5.720770001062192
LMS,time_varying,5.0,0,0.05060791254100774,-12.957815759530966,0.049261424466145814,202,5.639711002004333
LMS,time_varying,5.0,1,0.051484368245929064,-12.883246120191345,0.052007662818907716,305,5.637645001115743
LMS,time_varying,5.0,2,0.04807743352383613,-13.180587239452315,0.07763200066690469,1200,5.622773998766206
LMS,time_varying,5.0,3,0.17836051741242678,-7.487012764577175,0.10610338767370746,628,5.590916000073776
LMS,time_varying,5.0,4,0.02415925264018582,-16.169165046050963,0.09399723593614344,241,5.465962000016589
LMS,time_varying,15.0,0,0.05060791254100774,-12.957815759530966,0.049261424466145814,202,5.462340996018611
LMS,time_varying,15.0,1,0.051484368245929064,-12.883246120191345,0.052007662818907716,305,5.543348997889552
LMS,time_varying,15.0,2,0.04807743352383613,-13.180587239452315,0.07763200066690469,1200,5.477361002704129
LMS,time_varying,15.0,3,0.17836051741242678,-7.487012764577175,0.10610338767370746,628,5.569744003878441
LMS,time_varying,15.0,4,0.02415925264018582,-16.169165046050963,0.09399723593614344,241,5.49800099543063
LMS,time_varying,20.0,0,0.05060791254100774,-12.957815759530966,0.049261424466145814,202,5.4717230013920926
LMS,time_varying,20.0,1,0.051484368245929064,-12.883246120191345,0.052007662818907716,305,5.547945998841897
LMS,time_varying,20.0,2,0.04807743352383613,-13.180587239452315,0.07763200066690469,1200,5.575398994551506
LMS,time_varying,20.0,3,0.17836051741242678,-7.487012764577175,0.10610338767370746,628,5.610647996945772
LMS,time_varying,20.0,4,0.02415925264018582,-16.169165046050963,0.09399723593614344,241,5.551980000745971
LMS,regime_switch,0.0,0,0.028226038592008704,-15.493500689985975,0.15107026074503074,1700,5.688944002031349
LMS,regime_switch,0.0,1,0.21430818806499874,-6.6896123556597695,0.12853737959288633,224,5.929462000494823
LMS,regime_switch,0.0,2,0.051922570331818636,-12.846438167136657,0.06760715890466099,1842,5.706320000172127
LMS,regime_switch,0.0,3,0.03668437282888917,-14.355189013908063,0.06374613672942693,514,5.634009998175316
LMS,regime_switch,0.0,4,0.026254345234380815,-15.807988082360712,0.039108899753052984,342,5.492907002917491
LMS,regime_switch,5.0,0,0.028226038592008704,-15.493500689985975,0.15107026074503074,1700,6.020752000040375
LMS,regime_switch,5.0,1,0.21430818806499874,-6.6896123556597695,0.12853737959288633,224,5.60868599859532
LMS,regime_switch,5.0,2,0.051922570331818636,-12.846438167136657,0.06760715890466099,1842,5.575771996518597
LMS,regime_switch,5.0,3,0.03668437282888917,-14.355189013908063,0.06374613672942693,514,5.848698994668666
LMS,regime_switch,5.0,4,0.026254345234380815,-15.807988082360712,0.039108899753052984,342,5.56268599757459
LMS,regime_switch,15.0,0,0.028226038592008704,-15.493500689985975,0.15107026074503074,1700,5.67254499765113
LMS,regime_switch,15.0,1,0.21430818806499874,-6.6896123556597695,0.12853737959288633,224,5.58147099945927
LMS,regime_switch,15.0,2,0.051922570331818636,-12.846438167136657,0.06760715890466099,1842,5.5666799962637015
LMS,regime_switch,15.0,3,0.03668437282888917,-14.355189013908063,0.06374613672942693,514,5.5114999995566905
LMS,regime_switch,15.0,4,0.026254345234380815,-15.807988082360712,0.039108899753052984,342,5.424953000328969
LMS,regime_switch,20.0,0,0.028226038592008704,-15.493500689985975,0.15107026074503074,1700,5.474613994010724
LMS,regime_switch,20.0,1,0.21430818806499874,-6.6896123556597695,0.12853737959288633,224,5.572155001573265
LMS,regime_switch,20.0,2,0.051922570331818636,-12.846438167136657,0.06760715890466099,1842,5.913303000852466
LMS,regime_switch,20.0,3,0.03668437282888917,-14.355189013908063,0.06374613672942693,514,5.548676999751478
LMS,regime_switch,20.0,4,0.026254345234380815,-15.807988082360712,0.039108899753052984,342,5.763784000009764
LMS,alpha_stable,0.0,0,0.14129039807795782,-8.498873512655049,0.2138203866925946,2000,5.459161002363544
LMS,alpha_stable,0.0,1,0.10114528772892274,-9.95054345820153,0.2803753982187411,2000,5.458812003780622
LMS,alpha_stable,0.0,2,0.17187703390210435,-7.647821495810448,0.22471447315706627,2000,5.750281998189166
LMS,alpha_stable,0.0,3,0.22461801007349302,-6.485554245554689,0.23206525654658694,2000,5.584563004958909
LMS,alpha_stable,0.0,4,0.10612229363154387,-9.741933721349337,0.5526230398459351,2000,5.624012999760453
LMS,alpha_stable,5.0,0,0.06333517529733002,-11.983550230783916,0.08795589860158057,467,5.632811997202225
LMS,alpha_stable,5.0,1,0.04584968233962295,-13.386636688967407,0.10367936622142741,450,5.508787995495368
LMS,alpha_stable,5.0,2,0.07739873646334297,-11.112661291238602,0.09497306461707544,354,5.584708997048438
LMS,alpha_stable,5.0,3,0.09116354931315146,-10.401787745673182,0.09717284921167957,467,5.5918670041137375
LMS,alpha_stable,5.0,4,0.04940706233685614,-13.062109677739471,0.095709248454786,1587,5.571313995460514
LMS,alpha_stable,15.0,0,0.011324572501464097,-19.459781834277234,0.02667935003577708,224,5.491329000506084
LMS,alpha_stable,15.0,1,0.009109048503378342,-20.405269853628354,0.02887576519474499,223,5.773782002506778
LMS,alpha_stable,15.0,2,0.013718305767326753,-18.626995213479855,0.027847372962430388,249,5.5704030019114725
LMS,alpha_stable,15.0,3,0.014106984765996007,-18.50565802616436,0.026480727792446278,285,5.451372002426069
LMS,alpha_stable,15.0,4,0.009377723205887607,-20.2790259005477,0.027172416230093706,263,5.632795000565238
LMS,alpha_stable,20.0,0,0.005452240072565068,-22.634250295194853,0.020327953113760684,203,5.5755130015313625
LMS,alpha_stable,20.0,1,0.004667263591814207,-23.309376707943027,0.02115448952273656,222,5.743549001635984
LMS,alpha_stable,20.0,2,0.0061223922727816436,-22.130788477408206,0.02080680833137635,242,5.582243997196201
LMS,alpha_stable,20.0,3,0.006136744334145655,-22.120619696194957,0.020052627699570582,249,5.608277999272104
LMS,alpha_stable,20.0,4,0.004581473482524688,-23.389948226845263,0.020484681189643632,241,5.984692004858516
LMS,burst,0.0,0,0.0265042184519866,-15.766849975707215,0.17387874074360074,515,5.4613969987258315
LMS,burst,0.0,1,0.13279062392699992,-8.76832588522859,0.18419315593184127,497,5.541810998693109
LMS,burst,0.0,2,0.07020771216765677,-11.536151789196992,0.18466976360240908,239,5.446347997349221
LMS,burst,0.0,3,0.005597103953419602,-22.520366269128974,0.4096402183000595,223,5.633872999169398
LMS,burst,0.0,4,8202.045086683405,39.13922152276995,2050.529347133359,240,5.469461997563485
LMS,burst,5.0,0,0.017873941459646197,-17.477796687667578,0.09160266716279208,468,5.485059002239723
LMS,burst,5.0,1,0.07514733177652468,-11.240864351019521,0.09224228632334408,514,5.86739100253908
LMS,burst,5.0,2,0.028526894324601777,-15.447455066699693,0.08563645256198864,224,5.737186002079397
LMS,burst,5.0,3,0.007311937312320675,-21.359675405504312,0.08083856541467371,223,5.5539009990752675
LMS,burst,5.0,4,0.10495117144374558,-9.790127095432334,0.04328515464168531,239,5.729634998715483
LMS,burst,15.0,0,0.004444396993697725,-23.52187154747826,0.027829551252627194,354,5.4965949966572225
LMS,burst,15.0,1,0.015980312737741156,-17.96414725686575,0.028958347245373516,203,5.526351000298746
LMS,burst,15.0,2,0.005893597536548576,-22.296195246092072,0.02725722826679683,204,5.585799997788854
LMS,burst,15.0,3,0.003947182844215894,-24.037127553300852,0.02869671675967494,204,5.81015000352636
LMS,burst,15.0,4,0.02984299573181993,-15.251575831789253,0.02412293314112405,224,5.609694002487231
LMS,burst,20.0,0,0.003105000167113194,-25.079383719735105,0.020620043916070013,249,5.539580997719895
