ablation,family,seed,snr_db,ss_mse_db
default,gaussian,0,0,-7.047181999078308
default,gaussian,1,0,-6.40159101293595
default,gaussian,2,0,-6.992676662734168
default,gaussian,0,10,-7.331899641900318
default,gaussian,1,10,-7.374549116761019
default,gaussian,2,10,-7.1912897228320976
default,gaussian,0,20,-7.647097739227884
default,gaussian,1,20,-8.686153285649391
default,gaussian,2,20,-8.662821189789508
default,colored,0,0,-6.741425349774513
default,colored,1,0,-6.509005768210087
default,colored,2,0,-7.481906555503723
default,colored,0,10,-7.266405543227117
default,colored,1,10,-7.343001347400149
default,colored,2,10,-8.359299149457978
default,colored,0,20,-7.632211169976807
default,colored,1,20,-8.080489267032293
default,colored,2,20,-9.394127088439637
default,impulsive,0,0,-7.855500895808238
default,impulsive,1,0,-7.082217534715881
default,impulsive,2,0,-6.27755875652875
default,impulsive,0,10,-7.645059459106215
default,impulsive,1,10,-7.7308670324986295
default,impulsive,2,10,-6.454997191097604
default,impulsive,0,20,-7.676781532034605
default,impulsive,1,20,-7.69074558669958
default,impulsive,2,20,-7.753520552834063
default,time_varying,0,0,-7.954155145848739
default,time_varying,1,0,-6.185785447129948
default,time_varying,2,0,-8.066906326851166
default,time_varying,0,10,-7.954155145848739
default,time_varying,1,10,-6.185785447129948
default,time_varying,2,10,-8.066906326851166
default,time_varying,0,20,-7.954155145848739
default,time_varying,1,20,-6.185785447129948
default,time_varying,2,20,-8.066906326851166
default,regime_switch,0,0,-7.415512823451305
default,regime_switch,1,0,-8.503855159398386
default,regime_switch,2,0,-8.25220188241157
default,regime_switch,0,10,-7.415512823451305
default,regime_switch,1,10,-8.503855159398386
default,regime_switch,2,10,-8.25220188241157
default,regime_switch,0,20,-7.415512823451305
default,regime_switch,1,20,-8.503855159398386
default,regime_switch,2,20,-8.25220188241157
reward=softplus,gaussian,0,0,-7.632024480674397
reward=softplus,gaussian,1,0,-8.521496977411342
reward=softplus,gaussian,2,0,-6.9525739555643415
reward=softplus,gaussian,0,10,-12.482273556899026
reward=softplus,gaussian,1,10,-12.077849890855973
reward=softplus,gaussian,2,10,-8.486331419776189
reward=softplus,gaussian,0,20,-16.942355671455683
reward=softplus,gaussian,1,20,-13.510819465865495
reward=softplus,gaussian,2,20,-10.112372624080429
reward=softplus,colored,0,0,-9.866303418996477
reward=softplus,colored,1,0,-9.894714612501156
reward=softplus,colored,2,0,-6.44484540786598
reward=softplus,colored,0,10,-14.012370530812486
reward=softplus,colored,1,10,-11.921680956677623
reward=softplus,colored,2,10,-9.10081717104633
reward=softplus,colored,0,20,-18.07518453960873
reward=softplus,colored,1,20,-13.293052010666361
reward=softplus,colored,2,20,-11.460902079710536
reward=softplus,impulsive,0,0,-8.63286013686258
reward=softplus,impulsive,1,0,-9.076478874211498
reward=softplus,impulsive,2,0,-6.307599909743913
reward=softplus,impulsive,0,10,-13.839506573968459
reward=softplus,impulsive,1,10,-12.758033666134574
reward=softplus,impulsive,2,10,-6.9748630904194
reward=softplus,impulsive,0,20,-18.335932065644464
reward=softplus,impulsive,1,20,-13.575412914858147
reward=softplus,impulsive,2,20,-9.678609719060784
reward=softplus,time_varying,0,0,-16.58874678603009
reward=softplus,time_varying,1,0,-10.477550514985257
reward=softplus,time_varying,2,0,-8.942943078649908
reward=softplus,time_varying,0,10,-16.58874678603009
reward=softplus,time_varying,1,10,-10.477550514985257
reward=softplus,time_varying,2,10,-8.942943078649908
reward=softplus,time_varying,0,20,-16.58874678603009
reward=softplus,time_varying,1,20,-10.477550514985257
reward=softplus,time_varying,2,20,-8.942943078649908
reward=softplus,regime_switch,0,0,-14.272052980934678
reward=softplus,regime_switch,1,0,-12.554563099836162
reward=softplus,regime_switch,2,0,-8.609600080349226
reward=softplus,regime_switch,0,10,-14.272052980934678
reward=softplus,regime_switch,1,10,-12.554563099836162
reward=softplus,regime_switch,2,10,-8.609600080349226
reward=softplus,regime_switch,0,20,-14.272052980934678
reward=softplus,regime_switch,1,20,-12.554563099836162
reward=softplus,regime_switch,2,20,-8.609600080349226
reward=neg_abs,gaussian,0,0,-5.113236001582836
reward=neg_abs,gaussian,1,0,-4.030986903478398
reward=neg_abs,gaussian,2,0,-6.4522517962670864
reward=neg_abs,gaussian,0,10,-2.6071156624190466
reward=neg_abs,gaussian,1,10,-1.4725230347701594
reward=neg_abs,gaussian,2,10,-4.27364887272633
reward=neg_abs,gaussian,0,20,-18.373979879407884
reward=neg_abs,gaussian,1,20,-1.1380457875319776
reward=neg_abs,gaussian,2,20,-3.84464635116567
reward=neg_abs,colored,0,0,-4.50867400231888
reward=neg_abs,colored,1,0,-4.268875565849606
reward=neg_abs,colored,2,0,-5.532269136209386
reward=neg_abs,colored,0,10,-2.689768341099548
reward=neg_abs,colored,1,10,-1.4967726748963763
reward=neg_abs,colored,2,10,-4.420999539738966
reward=neg_abs,colored,0,20,-22.355618227551584
reward=neg_abs,colored,1,20,-1.1394078588857746
reward=neg_abs,colored,2,20,-3.971877685518386
reward=neg_abs,impulsive,0,0,-5.487128736631693
reward=neg_abs,impulsive,1,0,-4.377612432103735
reward=neg_abs,impulsive,2,0,-6.379873377177062
reward=neg_abs,impulsive,0,10,-2.7205200057076073
reward=neg_abs,impulsive,1,10,-1.506870350687147
reward=neg_abs,impulsive,2,10,-3.9807109464890624
reward=neg_abs,impulsive,0,20,-18.557404824079654
reward=neg_abs,impulsive,1,20,-1.1451513800395086
reward=neg_abs,impulsive,2,20,-3.8602532873892326
reward=neg_abs,time_varying,0,0,-2.7187696309476896
reward=neg_abs,time_varying,1,0,-1.921043050944886
reward=neg_abs,time_varying,2,0,-4.764567138220653
reward=neg_abs,time_varying,0,10,-2.7187696309476896
reward=neg_abs,time_varying,1,10,-1.921043050944886
reward=neg_abs,time_varying,2,10,-4.764567138220653
reward=neg_abs,time_varying,0,20,-2.7187696309476896
reward=neg_abs,time_varying,1,20,-1.921043050944886
reward=neg_abs,time_varying,2,20,-4.764567138220653
