step,ss_mse,ss_mse_db,ep_mse,family,snr_db,divergence_count
16000,0.151465689634135,-8.196857334302434,0.2380493461434925,impulsive,10.0,0
16000,0.15874785333330813,-7.992921387375165,0.15044810022952804,gaussian,10.0,0
16000,0.3487315455810959,-4.5750876540700895,0.36493843106469886,impulsive,15.0,0
16000,0.2062351475074774,-6.856373183531824,0.22579955863702503,time_varying,10.0,0
16000,0.6101412233899394,-2.1456963147967074,0.6435738901812278,gaussian,10.0,0
16000,0.08638631057287845,-10.635550736468485,0.12332337862878168,regime_switch,10.0,0
16000,0.2093932755657675,-6.790372693197302,0.21760334916344584,time_varying,15.0,0
16000,0.09461393327048756,-10.240449027383676,0.13397515409502853,time_varying,0.0,0
32000,0.19674830906218177,-7.060889914603088,0.12842784812790992,colored,20.0,0
32000,0.30919038373422336,-5.097740217254872,0.37583024860984326,regime_switch,5.0,0
32000,0.49147260936265547,-3.0850068115574296,0.5088806776861226,regime_switch,10.0,0
32000,0.3899097027207132,-4.090359574612338,0.3361370787036673,colored,15.0,0
32000,0.2028413430247124,-6.928435226226607,0.1803511735536211,impulsive,5.0,0
32000,0.3825876532987291,-4.1726904944285295,0.3989908457543594,time_varying,0.0,0
32000,0.18790301432300685,-7.260662529288383,0.257048744628584,colored,10.0,0
32000,0.4076419816077964,-3.897210959066191,0.34067944098372605,regime_switch,5.0,0
48000,0.18246042289786202,-7.388313228821259,0.178747831677337,regime_switch,10.0,0
48000,0.23739685734266822,-6.245250345277512,0.23046810461270764,impulsive,20.0,0
48000,0.21552713595058332,-6.664980421988059,0.23339248355903444,time_varying,15.0,0
48000,0.22750394166676102,-6.430110744805893,0.15905609631807663,impulsive,20.0,0
48000,0.2084125624733536,-6.810761066351924,0.23837588247119867,regime_switch,5.0,0
48000,0.19876490013265785,-7.0166030517073885,0.1938891717054767,gaussian,15.0,0
48000,0.11336701874272538,-9.455132740228736,0.12509264218955754,gaussian,0.0,0
48000,0.18312027780183138,-7.372635614860625,0.209394842770176,gaussian,10.0,0
64000,0.14388631094079754,-8.419805220135858,0.17993470161067457,impulsive,15.0,0
64000,0.09762422174885978,-10.104424152512747,0.16028970848650823,regime_switch,15.0,0
64000,0.04408896912588861,-13.556700555791615,0.10286217687224403,impulsive,20.0,0
64000,0.1625161185948429,-7.891035585615804,0.1725255390730655,time_varying,5.0,0
64000,0.05033784571781147,-12.981053746528206,0.10046717398513706,gaussian,10.0,0
64000,0.5100162396065541,-2.9241599515762657,0.46602670534103774,gaussian,10.0,0
64000,0.17097728709626595,-7.670615781661924,0.19783738683642296,gaussian,20.0,0
64000,0.07380892295182391,-11.318911320126846,0.07517892404886853,time_varying,0.0,0
80000,0.3233829537563374,-4.902828764649883,0.2136471196055311,gaussian,20.0,0
80000,0.35658936811529507,-4.478316096667189,0.36949053262329085,colored,20.0,0
80000,0.35073760334953463,-4.550176699549114,0.28558680446485685,regime_switch,0.0,0
80000,0.32175450789400484,-4.924753597609149,0.2731254534597273,regime_switch,0.0,0
80000,0.46379947229489404,-3.3366974983151936,0.4482728046737018,time_varying,15.0,0
80000,0.14269063895457024,-8.456045173078632,0.17987094574051257,gaussian,15.0,0
