step,ss_mse,ss_mse_db,ep_mse,family,snr_db,divergence_count
16000,0.3397776567306587,-4.688051830808256,0.3855452847469857,gaussian,10.0,0
16000,0.09868614239863303,-10.05743827086171,0.12716416580238982,regime_switch,0.0,0
16000,0.5463769137955748,-2.6250765929462903,0.5065894570856289,gaussian,20.0,0
16000,0.12343067683537712,-9.085768895326364,0.14573795258417502,impulsive,5.0,0
16000,0.6227412116038049,-2.056923927010821,0.615090167409489,impulsive,20.0,0
16000,0.43260103247680076,-3.639124483761773,0.521963341684088,regime_switch,10.0,0
16000,0.15973977550593105,-7.965869302464144,0.17707307159749108,time_varying,20.0,0
16000,0.43179972083496626,-3.647176427786259,0.41822388063682636,impulsive,15.0,0
32000,0.3138126604576844,-5.0332953921807375,0.3479587695938923,colored,15.0,0
32000,0.1571365719761116,-8.03722725466696,0.15726539728181133,time_varying,20.0,0
32000,0.10084408270679886,-9.963495800763578,0.13775506766129922,regime_switch,5.0,0
32000,0.4445904583375327,-3.5203986222944965,0.38343349162958534,time_varying,20.0,0
32000,0.1318723514400114,-8.798462497552343,0.09364787712412823,regime_switch,10.0,0
32000,0.18500877425368834,-7.328076741914121,0.18275048855863973,time_varying,20.0,0
32000,0.3929696076029444,-4.056410368009161,0.41592439921120267,gaussian,10.0,0
32000,0.16894299607155655,-7.7225980821043,0.1574766709364605,regime_switch,5.0,0
48000,0.49030713076880406,-3.0953179055668123,0.4805755577592162,time_varying,0.0,0
48000,0.15585716078788567,-8.07273239459283,0.13449775271642841,gaussian,0.0,0
48000,0.6986072770366284,-1.5576689484949355,0.5191925743547806,regime_switch,5.0,0
48000,0.3348856925086664,-4.751034066459637,0.3405974118675554,time_varying,10.0,0
48000,0.2587390347443124,-5.871380463679188,0.2921777584911398,impulsive,5.0,0
48000,0.15204158874207363,-8.180376009293319,0.15724578262192715,time_varying,15.0,0
48000,0.3237409130460019,-4.898024127761095,0.4675358921502879,regime_switch,20.0,0
48000,0.16812809990698502,-7.743596951559936,0.11506936361854864,regime_switch,20.0,0
64000,0.11228355952745403,-9.496838281442756,0.12472477436116186,regime_switch,0.0,0
64000,0.15384552638081653,-8.12915127924413,0.1776719789180278,regime_switch,15.0,0
64000,0.13005839959362062,-8.85861594411631,0.2594497497296448,time_varying,5.0,0
64000,0.4265220610300157,-3.7005850087101386,0.556380768390945,colored,20.0,0
64000,0.21933030202583642,-6.589013633341958,0.212006958889989,gaussian,5.0,0
64000,0.10253230564395382,-9.891392765320349,0.16821557426086928,regime_switch,0.0,0
64000,0.07690362983255959,-11.140531611155868,0.09508859375030025,gaussian,15.0,0
64000,0.3853874909330541,-4.141023859610023,0.3831465963023055,impulsive,15.0,0
80000,0.11161268669263033,-9.522864375858411,0.1535681189537633,impulsive,5.0,0
80000,0.33991086829181705,-4.686349490852598,0.35192381497209146,colored,0.0,0
80000,0.13789132174445298,-8.604630654895537,0.14639999179989252,impulsive,10.0,0
80000,0.15479535543105516,-8.102420742764481,0.15912625699935712,gaussian,20.0,0
80000,0.12333351169343798,-9.089189025889848,0.1262377907231603,impulsive,10.0,0
80000,0.20049349422151844,-6.978997151590161,0.26476834620049466,time_varying,0.0,0
80000,0.03208974685262632,-14.936337089096952,0.09159600397700662,regime_switch,5.0,0
80000,0.08862949980666349,-10.524217016872674,0.13486636429819052,time_varying,0.0,0
96000,0.27391498884031673,-5.623842021638323,0.40576913549508226,time_varying,5.0,0
96000,0.08712616570907204,-10.598513981844365,0.06434080845136068,regime_switch,20.0,0
96000,0.15806774205636978,-8.011567504086221,0.16957904933458331,gaussian,15.0,0
96000,0.13101118382210467,-8.826916290362812,0.13616926310790337,colored,0.0,0
96000,0.12141583034556616,-9.15724685715842,0.1140471059671643,colored,0.0,0
96000,0.43381172048922406,-3.62698718630107,0.4152045293730373,impulsive,20.0,0
96000,0.36466089470729696,-4.381108068068253,0.30871704877481865,regime_switch,0.0,0
96000,0.26075020983831104,-5.837753334018412,0.21707916317829762,impulsive,20.0,0
112000,0.33264949578478575,-4.780131305002615,0.39648890880464116,time_varying,20.0,0
112000,0.21732763939785268,-6.62885037254854,0.22667266821083423,impulsive,5.0,0
112000,0.4188678734390039,-3.7792294811999123,0.36653728843395206,impulsive,5.0,0
112000,0.3487667814194258,-4.5746488650559085,0.37828202524797916,time_varying,0.0,0
112000,0.37683672003321467,-4.238467849363945,0.3673403264554808,gaussian,10.0,0
112000,0.23737168992701388,-6.245710783097814,0.19678544470697346,gaussian,20.0,0
112000,0.2575050506775774,-5.892142483302678,0.21727430827588642,impulsive,20.0,0
112000,0.1608066750912764,-7.936959276300232,0.16875872654402063,regime_switch,20.0,0
128000,0.1715265434022026,-7.656686641835741,0.20748424356988068,time_varying,15.0,0
128000,0.05031091668497238,-12.983377695748175,0.11738193311038567,impulsive,0.0,0
128000,0.3568957586168698,-4.4745861320937195,0.38622274278150737,regime_switch,5.0,0
128000,0.26461003659630017,-5.7739368714716255,0.27641638996133167,colored,20.0,0
128000,0.09748087504632456,-10.110805809797345,0.13153210041948507,impulsive,10.0,0
128000,0.22252694629482417,-6.526173917886378,0.17967867533415224,time_varying,20.0,0
128000,0.4571159306628782,-3.3997364311920997,0.48227238552833607,colored,0.0,0
128000,0.08392240811877469,-10.761220627300743,0.1289395662516191,impulsive,10.0,0
144000,0.3687181286716664,-4.333055090200004,0.38742649102533777,time_varying,15.0,0
144000,0.470931400892509,-3.2704235058485445,0.4274701582771921,time_varying,0.0,0
144000,0.32544832454469286,-4.8751795992616405,0.3513034105464828,regime_switch,5.0,0
144000,0.21595532042899326,-6.656360918946768,0.25622259569405703,time_varying,20.0,0
144000,0.11858844864615221,-9.259576122628426,0.14995178926143485,regime_switch,10.0,0
144000,0.13532273196150565,-8.686292430429079,0.13736958223895787,gaussian,10.0,0
144000,0.2117597659220417,-6.741565517708729,0.18633784800721248,impulsive,10.0,0
144000,0.22316002571671956,-6.51383597212094,0.2937583235886097,colored,5.0,0
160000,0.1968951871249064,-7.057648995561786,0.20606065714874935,regime_switch,20.0,0
160000,0.24424920412775572,-6.121668427291599,0.27769710061730274,regime_switch,15.0,0
160000,0.3928600301988126,-4.057621543052067,0.370410948765968,impulsive,15.0,0
160000,0.3026244513757792,-5.190959848752943,0.3258133620466225,gaussian,20.0,0
160000,0.10930351879522658,-9.613658566304856,0.1183230581426988,regime_switch,20.0,0
160000,0.45296275800142366,-3.4393750363601234,0.42072560830979183,impulsive,10.0,0
160000,0.09352249615000766,-10.290839102065517,0.1246374936602723,regime_switch,10.0,0
160000,0.31338187155501496,-5.039261301102621,0.32095538969485043,impulsive,5.0,0
176000,0.069868845766885,-11.557164312236717,0.083036804341425,time_varying,20.0,0
176000,0.4829791331158582,-3.160716323291668,0.5181605360723158,regime_switch,10.0,0
176000,0.1947833233621979,-7.104482285732773,0.165288368183502,time_varying,5.0,0
176000,0.3394771266033399,-4.6918948242669325,0.38810169541548556,time_varying,5.0,0
176000,0.17514772300366427,-7.565955043236658,0.17026750129120438,regime_switch,10.0,0
176000,0.11817560766270399,-9.274721558597005,0.10151231220575244,impulsive,15.0,0
176000,0.03953239595190577,-14.030468634310544,0.12829212256190492,regime_switch,10.0,0
176000,0.39112420586746605,-4.07685305628539,0.427583459412888,regime_switch,0.0,0
192000,0.36642463696255606,-4.360153337552456,0.3954635123608547,time_varying,0.0,0
192000,0.4002511064167626,-3.9766745888282924,0.36546892053389446,impulsive,20.0,0
192000,0.30599618714833715,-5.1428398499005334,0.4125047898257703,regime_switch,0.0,0
192000,0.5590323836223515,-2.5256303357767824,0.5054356098581253,time_varying,20.0,0
192000,0.25200839540852676,-5.985849908879109,0.17805390189158699,time_varying,5.0,0
192000,0.5818547237622241,-2.3518543552837414,0.37922753000217496,regime_switch,20.0,0
192000,0.1448108764062278,-8.391988180680874,0.14794812193124687,gaussian,20.0,0
192000,0.08208168570565808,-10.857537330609361,0.12543828006044774,regime_switch,10.0,0
208000,0.4676159728330617,-3.301106626188023,0.4271343912067374,gaussian,0.0,0
208000,0.19014722119419264,-7.209100169703176,0.18563737513325873,impulsive,0.0,0
208000,0.3267530913584743,-4.857802949363688,0.3378469315880061,time_varying,20.0,0
208000,0.044382742442002986,-13.527858658925387,0.0947528958354473,impulsive,15.0,0
208000,0.28308297143474614,-5.480862543859298,0.30024325793439705,impulsive,5.0,0
208000,0.057048128294260717,-12.437585998763488,0.07597767064314036,colored,0.0,0
